day_index,hub_name,resource_type,resource_demand_units,resource_capacity_units,contributing_routes,resource_capacity_note,utilization,shortage_units,resource_status,scenic_peak_load,scenic_overload_persons
4,和田市,scenic_shuttle_or_parking,3.7236,576.8,Q4V2_R039,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0065,0.0,green,,
5,吐鲁番市,coach_bus,134.5658,961.3333,Q4V2_R005;Q4V2_R015;Q4V2_R018;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048;Q4V2_R051;Q4V2_R053,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.14,0.0,green,,
5,吐鲁番市,licensed_guide,182.625,1351.875,Q4V2_R005;Q4V2_R015;Q4V2_R018;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048;Q4V2_R051;Q4V2_R053,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.1351,0.0,green,,
5,吐鲁番市,scenic_shuttle_or_parking,113.6333,865.2,Q4V2_R005;Q4V2_R015;Q4V2_R018;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048;Q4V2_R051;Q4V2_R053,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.1313,0.0,green,,
5,赛里木湖,coach_bus,25.4846,377.6667,Q4V2_R008;Q4V2_R011,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0675,0.0,green,,
5,赛里木湖,licensed_guide,34.5863,531.0938,Q4V2_R008;Q4V2_R011,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0651,0.0,green,,
5,赛里木湖,scenic_shuttle_or_parking,21.5204,339.9,Q4V2_R008;Q4V2_R011,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0633,0.0,green,,
5,巴音布鲁克,coach_bus,13.4868,240.3333,Q4V2_R029,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0561,0.0,green,,
5,巴音布鲁克,licensed_guide,18.3036,337.9688,Q4V2_R029,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0542,0.0,green,,
5,巴音布鲁克,scenic_shuttle_or_parking,11.3889,216.3,Q4V2_R029,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0527,0.0,green,,
5,和田市,coach_bus,23.0482,640.8889,Q4V2_R039;Q4V2_R041,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.036,0.0,green,,
5,和田市,licensed_guide,31.2798,901.25,Q4V2_R039;Q4V2_R041,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0347,0.0,green,,
5,和田市,scenic_shuttle_or_parking,19.463,576.8,Q4V2_R039;Q4V2_R041,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0337,0.0,green,,
5,库车市,coach_bus,14.7105,526.4444,Q4V2_R030,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0279,0.0,green,,
5,库车市,licensed_guide,19.9643,740.3125,Q4V2_R030,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.027,0.0,green,,
5,库车市,scenic_shuttle_or_parking,12.4222,473.8,Q4V2_R030,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0262,0.0,green,,
5,阿勒泰市,coach_bus,10.5219,503.5556,Q4V2_R006,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0209,0.0,green,,
5,阿勒泰市,licensed_guide,14.2798,708.125,Q4V2_R006,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0202,0.0,green,,
5,阿勒泰市,scenic_shuttle_or_parking,8.8852,453.2,Q4V2_R006,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0196,0.0,green,,
5,喀什市,coach_bus,11.4254,1190.2222,Q4V2_R024;Q4V2_R063,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0096,0.0,green,,
5,喀什市,licensed_guide,15.506,1673.75,Q4V2_R024;Q4V2_R063,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0093,0.0,green,,
5,喀什市,scenic_shuttle_or_parking,9.6481,1071.2,Q4V2_R024;Q4V2_R063,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.009,0.0,green,,
6,吐鲁番市,coach_bus,90.2104,961.3333,Q4V2_R015;Q4V2_R018;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048;Q4V2_R051,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0938,0.0,green,,
6,吐鲁番市,licensed_guide,99.4423,1351.875,Q4V2_R015;Q4V2_R018;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048;Q4V2_R051,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0736,0.0,green,,
6,吐鲁番市,scenic_shuttle_or_parking,60.6461,865.2,Q4V2_R015;Q4V2_R018;Q4V2_R043;Q4V2_R045;Q4V2_R046;Q4V2_R048;Q4V2_R051,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0701,0.0,green,,
6,赛里木湖,coach_bus,22.307,377.6667,Q4V2_R008;Q4V2_R011,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0591,0.0,green,,
6,赛里木湖,licensed_guide,26.2149,531.0938,Q4V2_R008;Q4V2_R011,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0494,0.0,green,,
6,赛里木湖,scenic_shuttle_or_parking,16.0944,339.9,Q4V2_R008;Q4V2_R011,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0474,0.0,green,,
6,巴音布鲁克,coach_bus,9.3182,240.3333,Q4V2_R029,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0388,0.0,green,,
6,禾木村,coach_bus,10.5219,286.1111,Q4V2_R006,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0368,0.0,green,,
6,禾木村,licensed_guide,14.2798,402.3438,Q4V2_R006,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0355,0.0,green,,
6,天池风景区,coach_bus,14.9781,423.4444,Q4V2_R053,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0354,0.0,green,,
6,禾木村,scenic_shuttle_or_parking,8.8852,257.5,Q4V2_R006,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0345,0.0,green,,
6,天池风景区,licensed_guide,20.3274,595.4688,Q4V2_R053,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0341,0.0,green,,
6,天池风景区,scenic_shuttle_or_parking,12.6481,381.1,Q4V2_R053,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0332,0.0,green,,
6,库尔勒市,coach_bus,23.1404,869.7778,Q4V2_R005;Q4V2_R039,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0266,0.0,green,,
6,库尔勒市,licensed_guide,31.4048,1223.125,Q4V2_R005;Q4V2_R039,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0257,0.0,green,,
6,库尔勒市,scenic_shuttle_or_parking,19.5407,782.8,Q4V2_R005;Q4V2_R039,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.025,0.0,green,,
6,巴音布鲁克,licensed_guide,7.3214,337.9688,Q4V2_R029,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0217,0.0,green,,
6,巴音布鲁克,scenic_shuttle_or_parking,4.2708,216.3,Q4V2_R029,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0197,0.0,green,,
6,库车市,coach_bus,10.1636,526.4444,Q4V2_R030,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0193,0.0,green,,
6,和田市,coach_bus,11.2895,640.8889,Q4V2_R041,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0176,0.0,green,,
6,和田市,licensed_guide,15.3214,901.25,Q4V2_R041,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.017,0.0,green,,
6,和田市,scenic_shuttle_or_parking,9.5333,576.8,Q4V2_R041,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0165,0.0,green,,
6,库车市,licensed_guide,7.9857,740.3125,Q4V2_R030,由住宿枢纽规模推导的校准运力/导游/摆渡车能力，非实时调度库存,0.0108,0.0,green,,
