iteration,operator,move,temperature,accepted,candidate_objective,current_objective,best_objective,candidate_spots,best_spots,candidate_days,candidate_over_budget_days,candidate_time_window_violations,candidate_limited_lodging_nights
178,random_removal,two_opt,2205.6293,False,251435.12,258470.175,258470.175,31,32,30,4,0,0
179,worst_removal,none,2192.3955,True,258470.175,258470.175,258470.175,32,32,30,2,0,0
180,long_arc_removal,two_opt,2179.2411,False,228833.057,258470.175,258470.175,27,32,27,1,0,1
181,region_removal,reorder,2166.1657,False,236407.13,258470.175,258470.175,30,32,28,7,0,1
182,lodging_pressure_removal,none,2153.1687,True,258470.175,258470.175,258470.175,32,32,30,2,0,0
183,worst_removal,two_opt,2140.2497,False,-119892.936,258470.175,258470.175,29,32,33,2,0,0
184,long_arc_removal,swap,2127.4082,False,-233073.257,258470.175,258470.175,32,32,34,5,0,0
185,lodging_pressure_removal,reorder,2114.6437,False,250122.899,258470.175,258470.175,32,32,29,7,0,1
186,worst_removal,swap,2101.9559,False,-249490.683,258470.175,258470.175,29,32,34,4,0,0
187,lodging_pressure_removal,reorder,2089.3441,False,250122.899,258470.175,258470.175,32,32,29,7,0,1
188,random_removal,reorder,2076.8081,False,250114.59,258470.175,258470.175,32,32,29,7,0,1
189,random_removal,swap,2064.3472,False,-360423.688,258470.175,258470.175,32,32,35,5,0,2
190,random_removal,reorder,2051.9612,False,250122.899,258470.175,258470.175,32,32,29,7,0,1
191,long_arc_removal,none,2039.6494,False,230491.186,258470.175,258470.175,27,32,27,1,0,0
192,random_removal,none,2027.4115,False,251138.63,258470.175,258470.175,30,32,30,2,0,0
193,random_removal,none,2015.247,False,251008.941,258470.175,258470.175,30,32,29,2,0,0
194,long_arc_removal,none,2003.1555,True,258470.175,258470.175,258470.175,32,32,30,2,0,0
195,region_removal,reorder,1991.1366,False,250122.899,258470.175,258470.175,32,32,29,7,0,1
196,region_removal,two_opt,1979.1898,False,10725.769,258470.175,258470.175,32,32,32,2,0,2
197,random_removal,two_opt,1967.3146,False,-111668.375,258470.175,258470.175,32,32,33,5,0,1
198,worst_removal,two_opt,1955.5108,False,126560.122,258470.175,258470.175,31,32,31,4,0,1
199,worst_removal,reorder,1943.7777,False,246232.969,258470.175,258470.175,31,32,28,7,0,1
200,lodging_pressure_removal,two_opt,1932.115,False,-112236.233,258470.175,258470.175,32,32,33,3,0,2
201,long_arc_removal,two_opt,1920.5223,False,-240194.879,258470.175,258470.175,32,32,34,7,0,2
202,region_removal,reorder,1908.9992,False,250122.899,258470.175,258470.175,32,32,29,7,0,1
