route_id,simulation_samples,success_probability,overrun_probability,expected_days,p90_days,p95_days,expected_cost_yuan,p95_cost_yuan,expected_loss,cvar75_loss,cvar90_loss,expected_red_days,prob_red_days_gt1,mean_simulated_comfort,p10_simulated_comfort,chance_constraint_pass,simulation_note
Q1V3_Q22_083,500,0.82,0.0,24.018,24.0,24.0,12468.68,14923.52,1233.017,2134.201,2473.105,3.732,1.0,83.552,79.455,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_151,500,0.798,0.0,26.034,26.0,26.0,11965.26,14413.39,1593.091,2547.858,2872.571,5.82,1.0,81.233,76.987,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_150,500,0.812,0.0,26.038,26.0,26.0,12555.15,15078.46,1055.337,2000.369,2326.352,2.818,1.0,82.842,78.345,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_120,500,0.824,0.0,25.036,25.0,25.0,11134.74,13360.43,1030.675,1887.614,2257.505,2.778,1.0,83.529,79.038,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_119,500,0.818,0.0,25.014,25.0,25.0,11548.34,13951.84,1018.514,1971.218,2409.607,2.758,1.0,83.042,78.515,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_141,500,0.798,0.0,25.014,25.0,25.0,11950.43,14313.27,1590.044,2590.064,2953.411,5.804,1.0,80.328,76.386,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_140,500,0.798,0.0,26.038,26.0,26.0,12192.42,14615.43,1244.906,2178.101,2526.938,3.816,1.0,81.875,77.742,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_124,500,0.82,0.0,25.036,25.0,25.0,10800.33,13011.15,1014.225,1884.401,2229.228,2.786,1.0,84.332,80.521,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_123,500,0.786,0.0,25.022,25.0,25.0,13008.3,15661.8,1278.871,2279.539,2643.315,3.776,1.0,84.098,80.173,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_115,500,0.79,0.0,26.04,26.0,26.0,13169.08,15770.78,1312.873,2358.598,2759.605,3.796,1.0,83.824,79.706,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_116,500,0.79,0.0,25.038,25.0,25.0,11148.97,13427.32,1241.697,2163.061,2554.831,3.794,1.0,83.353,78.771,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_114,500,0.818,0.0,23.026,23.0,23.0,13119.43,15697.09,1262.079,2257.728,2606.344,3.78,1.0,82.379,78.212,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_113,500,0.808,0.0,22.032,22.0,22.0,13137.58,15676.24,1269.287,2247.601,2617.45,3.788,1.0,80.944,76.617,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_139,500,0.794,0.0,26.06,26.0,27.0,11165.48,13454.78,1241.302,2126.776,2459.297,3.798,1.0,83.457,78.254,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_138,500,0.808,0.0,26.032,26.0,26.0,13383.28,16033.97,1466.429,2468.441,2777.22,4.786,1.0,83.04,78.368,True,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_159,500,0.798,0.0,27.19,28.0,28.0,11334.22,13604.73,1424.379,2369.007,2738.603,4.822,1.0,83.088,77.773,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
Q1V3_Q24_158,500,0.798,0.0,27.122,28.0,28.0,13614.75,16328.59,1489.966,2533.017,2912.894,4.792,1.0,82.659,78.079,False,route-specific Monte Carlo；扰动由路线交通方式、缓冲日、预约点、酒店压力和高温暴露共同驱动
