route_id,active_or_transfer_days,planned_trip_days,buffer_days,red_days,yellow_days,green_days,long_transfer_days,late_hotel_days,max_day_active_hours,mean_day_active_hours,mean_comfort_score,p10_comfort_score,time_window_violations,late_after_hard_end_violations,schedule_soft_feasible,schedule_strict_feasible,schedule_feasible,scheduler_note
Q1V3_Q28_270,30,30,0,2,9,19,7,0,11.752,6.183,89.098,77.656,1,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_234,29,30,1,5,6,19,5,0,11.752,6.401,87.257,68.332,2,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_225,28,30,2,5,6,19,5,0,11.752,6.599,86.299,67.115,2,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_222,26,30,4,3,8,19,6,0,11.036,7.222,85.441,75.012,1,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_269,29,30,1,4,9,17,6,0,11.55,6.415,87.556,69.704,0,0,True,True,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_226,30,30,0,4,10,16,6,1,23.689,6.867,86.818,69.955,1,1,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_238,29,30,1,7,6,17,4,1,13.0,7.005,84.381,57.872,4,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q28_255,29,30,1,5,8,17,5,1,11.522,6.724,84.772,68.639,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_330,33,33,0,3,10,20,7,0,11.752,6.195,88.79,76.368,2,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_329,31,31,0,4,12,15,6,1,23.689,6.933,87.203,70.0,1,1,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_308,31,31,0,4,10,17,5,1,9.967,6.385,87.847,73.92,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_307,32,32,0,4,10,18,5,0,10.5,6.317,87.902,74.066,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_288,32,32,0,5,10,17,6,1,11.522,6.807,85.167,70.054,4,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_287,33,33,0,7,10,16,5,0,11.752,6.639,86.701,68.075,4,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_319,33,33,0,7,11,15,6,0,15.79,6.928,84.434,65.176,5,1,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_320,32,32,0,7,9,16,6,0,13.0,7.259,83.187,56.24,5,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_280,29,30,1,3,11,16,5,0,11.956,6.729,86.506,74.8,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_282,31,31,0,4,9,18,5,0,11.752,6.325,88.734,73.92,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_281,31,31,0,3,11,17,4,0,11.752,6.399,87.852,76.0,1,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_279,28,30,2,3,10,17,6,0,11.036,7.059,86.594,75.585,1,0,True,False,True,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_284,33,33,0,6,6,21,6,0,11.752,6.291,87.495,65.85,2,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_306,33,33,0,6,7,20,6,1,11.522,6.419,86.167,69.448,1,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_314,31,31,0,7,7,17,6,1,11.752,6.736,85.111,64.62,2,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_322,35,35,0,7,5,23,7,0,11.18,6.302,87.853,67.859,2,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_283,33,33,0,5,9,19,5,0,11.752,6.333,87.32,71.398,2,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q30_336,31,31,0,4,8,19,6,0,11.752,6.636,86.066,67.402,5,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_379,32,32,0,5,8,19,5,1,11.781,6.663,85.507,69.379,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_378,34,34,0,5,10,19,6,0,11.752,6.318,87.842,70.708,4,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_346,35,35,0,5,7,23,6,0,11.194,6.378,87.953,72.029,5,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_367,33,33,0,5,11,17,6,1,11.522,6.862,84.897,70.108,4,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_366,36,36,0,6,12,18,5,0,11.752,6.363,87.826,71.364,5,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_345,35,35,0,6,10,19,7,0,10.433,6.478,87.148,71.858,5,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_349,35,35,0,5,9,21,6,0,11.752,6.231,88.789,72.029,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_361,34,34,0,8,8,18,6,1,13.0,6.955,84.629,60.799,4,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_394,35,35,0,2,12,21,6,0,11.752,6.283,89.172,77.55,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_382,34,34,0,7,7,20,6,0,11.752,6.633,86.288,67.374,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_342,33,33,0,5,9,19,5,1,11.522,6.66,85.452,69.448,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_340,35,35,0,5,8,22,5,0,11.752,6.286,89.062,72.029,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_341,33,33,0,3,11,19,5,0,11.522,6.712,86.282,74.781,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_354,34,34,0,6,10,18,5,0,11.752,6.441,87.482,67.374,4,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_355,34,34,0,5,9,20,5,0,11.752,6.448,87.476,71.714,4,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_339,35,35,0,4,12,19,6,0,11.752,6.286,88.458,74.752,3,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_371,34,34,0,7,8,19,7,0,11.752,6.67,85.731,68.412,5,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
Q1V3_Q32_365,34,34,0,6,9,19,6,1,11.522,6.715,85.029,69.517,4,0,False,False,False,启发式小时级排程：开放时间、午休、高温避让、长转场恢复、晚到酒店均显式记录
